Registo,Valor,Estado
437,N/A,TIMEOUT/NÃO_DISPONÍVEL
438,N/A,TIMEOUT/NÃO_DISPONÍVEL
439,N/A,TIMEOUT/NÃO_DISPONÍVEL
440,N/A,TIMEOUT/NÃO_DISPONÍVEL
441,N/A,TIMEOUT/NÃO_DISPONÍVEL
442,N/A,TIMEOUT/NÃO_DISPONÍVEL
443,N/A,TIMEOUT/NÃO_DISPONÍVEL
444,N/A,TIMEOUT/NÃO_DISPONÍVEL
445,N/A,TIMEOUT/NÃO_DISPONÍVEL
446,N/A,TIMEOUT/NÃO_DISPONÍVEL
447,N/A,TIMEOUT/NÃO_DISPONÍVEL
448,N/A,TIMEOUT/NÃO_DISPONÍVEL
449,N/A,TIMEOUT/NÃO_DISPONÍVEL
450,N/A,TIMEOUT/NÃO_DISPONÍVEL
451,N/A,TIMEOUT/NÃO_DISPONÍVEL
452,N/A,TIMEOUT/NÃO_DISPONÍVEL
453,N/A,TIMEOUT/NÃO_DISPONÍVEL
454,N/A,TIMEOUT/NÃO_DISPONÍVEL
455,N/A,TIMEOUT/NÃO_DISPONÍVEL
456,N/A,TIMEOUT/NÃO_DISPONÍVEL
457,N/A,TIMEOUT/NÃO_DISPONÍVEL
458,N/A,TIMEOUT/NÃO_DISPONÍVEL
459,N/A,TIMEOUT/NÃO_DISPONÍVEL
460,N/A,TIMEOUT/NÃO_DISPONÍVEL
461,N/A,TIMEOUT/NÃO_DISPONÍVEL
462,N/A,TIMEOUT/NÃO_DISPONÍVEL
463,N/A,TIMEOUT/NÃO_DISPONÍVEL
464,N/A,TIMEOUT/NÃO_DISPONÍVEL
465,N/A,TIMEOUT/NÃO_DISPONÍVEL
466,N/A,TIMEOUT/NÃO_DISPONÍVEL
467,N/A,TIMEOUT/NÃO_DISPONÍVEL
468,N/A,TIMEOUT/NÃO_DISPONÍVEL
469,N/A,TIMEOUT/NÃO_DISPONÍVEL
470,N/A,TIMEOUT/NÃO_DISPONÍVEL
471,N/A,TIMEOUT/NÃO_DISPONÍVEL
472,N/A,TIMEOUT/NÃO_DISPONÍVEL
473,N/A,TIMEOUT/NÃO_DISPONÍVEL
474,N/A,TIMEOUT/NÃO_DISPONÍVEL
475,N/A,TIMEOUT/NÃO_DISPONÍVEL
476,N/A,TIMEOUT/NÃO_DISPONÍVEL
477,N/A,TIMEOUT/NÃO_DISPONÍVEL
478,N/A,TIMEOUT/NÃO_DISPONÍVEL
479,N/A,TIMEOUT/NÃO_DISPONÍVEL
480,N/A,TIMEOUT/NÃO_DISPONÍVEL
481,N/A,TIMEOUT/NÃO_DISPONÍVEL
482,N/A,TIMEOUT/NÃO_DISPONÍVEL
483,N/A,TIMEOUT/NÃO_DISPONÍVEL
484,N/A,TIMEOUT/NÃO_DISPONÍVEL
485,N/A,TIMEOUT/NÃO_DISPONÍVEL
486,N/A,TIMEOUT/NÃO_DISPONÍVEL
487,N/A,TIMEOUT/NÃO_DISPONÍVEL
488,N/A,TIMEOUT/NÃO_DISPONÍVEL
489,N/A,TIMEOUT/NÃO_DISPONÍVEL
490,N/A,TIMEOUT/NÃO_DISPONÍVEL
491,N/A,TIMEOUT/NÃO_DISPONÍVEL
492,N/A,TIMEOUT/NÃO_DISPONÍVEL
493,N/A,TIMEOUT/NÃO_DISPONÍVEL
494,N/A,TIMEOUT/NÃO_DISPONÍVEL
495,N/A,TIMEOUT/NÃO_DISPONÍVEL
496,N/A,TIMEOUT/NÃO_DISPONÍVEL
497,N/A,TIMEOUT/NÃO_DISPONÍVEL
498,N/A,TIMEOUT/NÃO_DISPONÍVEL
499,N/A,TIMEOUT/NÃO_DISPONÍVEL
500,N/A,TIMEOUT/NÃO_DISPONÍVEL
501,N/A,TIMEOUT/NÃO_DISPONÍVEL
502,N/A,TIMEOUT/NÃO_DISPONÍVEL
503,N/A,TIMEOUT/NÃO_DISPONÍVEL
504,N/A,TIMEOUT/NÃO_DISPONÍVEL
505,N/A,TIMEOUT/NÃO_DISPONÍVEL
506,N/A,TIMEOUT/NÃO_DISPONÍVEL
507,N/A,TIMEOUT/NÃO_DISPONÍVEL
508,N/A,TIMEOUT/NÃO_DISPONÍVEL
509,N/A,TIMEOUT/NÃO_DISPONÍVEL
510,N/A,TIMEOUT/NÃO_DISPONÍVEL
511,N/A,TIMEOUT/NÃO_DISPONÍVEL
512,N/A,TIMEOUT/NÃO_DISPONÍVEL
513,N/A,TIMEOUT/NÃO_DISPONÍVEL
514,N/A,TIMEOUT/NÃO_DISPONÍVEL
515,N/A,TIMEOUT/NÃO_DISPONÍVEL
516,N/A,TIMEOUT/NÃO_DISPONÍVEL
517,N/A,TIMEOUT/NÃO_DISPONÍVEL
518,N/A,TIMEOUT/NÃO_DISPONÍVEL
519,N/A,TIMEOUT/NÃO_DISPONÍVEL
520,N/A,TIMEOUT/NÃO_DISPONÍVEL
521,N/A,TIMEOUT/NÃO_DISPONÍVEL
522,N/A,TIMEOUT/NÃO_DISPONÍVEL
523,N/A,TIMEOUT/NÃO_DISPONÍVEL
524,N/A,TIMEOUT/NÃO_DISPONÍVEL
525,N/A,TIMEOUT/NÃO_DISPONÍVEL
526,N/A,TIMEOUT/NÃO_DISPONÍVEL
527,N/A,TIMEOUT/NÃO_DISPONÍVEL
528,N/A,TIMEOUT/NÃO_DISPONÍVEL
529,N/A,TIMEOUT/NÃO_DISPONÍVEL
530,N/A,TIMEOUT/NÃO_DISPONÍVEL
531,N/A,TIMEOUT/NÃO_DISPONÍVEL
532,N/A,TIMEOUT/NÃO_DISPONÍVEL
533,N/A,TIMEOUT/NÃO_DISPONÍVEL
534,N/A,TIMEOUT/NÃO_DISPONÍVEL
535,N/A,TIMEOUT/NÃO_DISPONÍVEL
536,N/A,TIMEOUT/NÃO_DISPONÍVEL
537,N/A,TIMEOUT/NÃO_DISPONÍVEL
538,N/A,TIMEOUT/NÃO_DISPONÍVEL
539,N/A,TIMEOUT/NÃO_DISPONÍVEL
540,N/A,TIMEOUT/NÃO_DISPONÍVEL
541,N/A,TIMEOUT/NÃO_DISPONÍVEL
542,N/A,TIMEOUT/NÃO_DISPONÍVEL
543,N/A,TIMEOUT/NÃO_DISPONÍVEL
