OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.4.23.5.1.2.13,Integer,103,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.14,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.15,Integer,101,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.16,Integer,101,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.17,Integer,95,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.18,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.19,Integer,96,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.20,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.21,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.22,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.23,Integer,100,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.24,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.25,Integer,95,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.26,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.27,Integer,105,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.28,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.29,Integer,92,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.30,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.31,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.32,Integer,107,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.33,Integer,94,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.34,Integer,110,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.35,Integer,87,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.36,Integer,101,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.37,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.38,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.39,Integer,102,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.40,Integer,100,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.41,Integer,105,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.42,Integer,102,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.43,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.44,Integer,101,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.45,Integer,98,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.46,Integer,105,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.47,Integer,99,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.48,Integer,92,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.49,Integer,97,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.50,Integer,101,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.51,Integer,97,
.1.3.6.1.4.1.12148.10.4.23.5.1.2.52,Integer,60,
.1.3.6.1.4.1.12148.10.4.23.6.0,Integer,52,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.1,Integer,698,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.2,Integer,693,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.3,Integer,687,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.4,Integer,693,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.5,Integer,698,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.6,Integer,707,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.7,Integer,687,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.8,Integer,688,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.9,Integer,689,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.10,Integer,695,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.11,Integer,677,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.12,Integer,692,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.13,Integer,694,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.14,Integer,702,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.15,Integer,680,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.16,Integer,692,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.17,Integer,737,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.18,Integer,696,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.19,Integer,687,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.20,Integer,704,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.21,Integer,705,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.22,Integer,688,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.23,Integer,699,
.1.3.6.1.4.1.12148.10.4.23.7.1.2.24,Integer,674,
